BARCODE,BRAND_CODE,CATEGORY,CATEGORY_CODE,NAME
511111305354,BUBLY,Beverages,BEVERAGES,Bubly Sparkling Water
511111800873,DEGREE,Personal Care,PERSONAL_CARE,Degree
511111508441,KODIAK CAKES,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Kodiak Cakes
511111809180,REESES,Candy & Sweets,CANDY_AND_SWEETS,REESE'S
511111900825,HELLMANNS BEST FOODS,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Hellmann's/Best Foods Mayo
511111100416,NUT HARVEST,Snacks,SNACKS,NUT HARVEST
511111403128,,,,Raisin Bran
511111601678,LAYS,Snacks,SNACKS,Lay's
511111003199,,,,Honey Smacks
511111613190,SUPERBIRD,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Superbird
511111907237,KID CUISINE,Frozen,FROZEN,Kid Cuisine®
511111907398,SLIM JIM,Snacks,SNACKS,Slim Jim®
511111109167,MOUNDS,Candy & Sweets,CANDY_AND_SWEETS,Mounds
511111802846,DIGIORNO,Grocery,GROCERY,Digiorno
511111702221,ICEHOUSE,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Icehouse
511111206330,DIPPIN DOTS,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Dippin Dots Cereal
511111101451,QUAKER,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Quaker
511111704140,PREGO,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Prego
511111402190,CLASSICO,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Classico
511111104469,LANCE,Snacks,SNACKS,Lance
511111311133,LYSOL NEUTRA-AIR,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,LYSOL® NEUTRA-AIR
511111802792,MILLER LITE,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Miller Lite
511111607465,GERBER BABY FOOD,Baby,BABY,Gerber Baby Food
511111708520,ENTENMANNS,Bread & Bakery,BREAD_AND_BAKERY,Entenmann's Sweet Baked Goods
511111315445,MARS WRIGLEY VARIETY PACK,Candy & Chocolate,CANDY_AND_CHOCOLATE,MARS WRIGLEY VARIETY
511111807773,SAN LUIS,Bread & Bakery,BREAD_AND_BAKERY,San Luis Bread
511111815013,SKITTLES,Candy & Chocolate,CANDY_AND_CHOCOLATE,SKITTLES®
511111502142,GREY POUPON,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Grey Poupon
511111402961,FANTA,Beverages,BEVERAGES,Fanta
511111808374,NYX PROFESSIONAL MAKEUP,Beauty,BEAUTY,NYX Professional Makeup
511111806660,TOTINOS,Frozen,FROZEN,Totino's
511111106715,SCHMIDT'S,Personal Care,PERSONAL_CARE,Schmidt's Soaps
511111000884,COUNTRY CROCK,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,COUNTRY CROCK ORIGINAL
511111810193,GATORADE BARS,Snacks,SNACKS,Gatorade Bars
511111411192,TICONDEROGA,Household,HOUSEHOLD,Ticonderoga
511111803959,AQUAFINA,Beverages,BEVERAGES,Aquafina
511111905967,MOUNTAIN HIGH,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Mountain High
511111607533,SARA LEE ARTESANO,Bread & Bakery,BREAD_AND_BAKERY,Sara Lee Artesano Bread
511111314868,EXTRA,Gum & Mints,GUM_AND_MINTS,EXTRA®
511111714460,DOLE FOODS,Grocery,GROCERY,Dole
